model,endpoint,group,Mean_AUPRC,Std_AUPRC,Mean_AUROC,Std_AUROC
GCN-MTL,NR-AR,NR,0.3953572461945081,0.18520032906468575,0.7817236816418985,0.07746096348870893
GCN-MTL,NR-AR-LBD,NR,0.2967473618222157,0.23496918069077563,0.7853476318889112,0.120589113225577
GCN-MTL,NR-AhR,NR,0.4599149534912164,0.08647732313269302,0.8542431966206866,0.029631001324455838
GCN-MTL,NR-Aromatase,NR,0.16621748102377404,0.014421447172721235,0.7840687117499593,0.025235894841858012
GCN-MTL,NR-ER,NR,0.40531198042590283,0.10985925235719156,0.7490388388755392,0.040728421898839184
GCN-MTL,NR-ER-LBD,NR,0.2673100625161738,0.12778166250128106,0.7696118343344326,0.08344544064444952
GCN-MTL,NR-PPAR-gamma,NR,0.09932544320594054,0.03897354777876109,0.747938483655546,0.05015539939930181
GCN-MTL,SR-ARE,SR,0.3810787756544133,0.09270700706335393,0.7544321223009294,0.04533455699479093
GCN-MTL,SR-ATAD5,SR,0.12793684576912864,0.04158979077454087,0.7686758540246426,0.05205171407419024
GCN-MTL,SR-HSE,SR,0.20556497737739343,0.08933875391806981,0.765803743653516,0.016993840774035467
GCN-MTL,SR-MMP,SR,0.5457080384684042,0.09112475281443551,0.853617613422586,0.042794671003782224
GCN-MTL,SR-p53,SR,0.20174318409622014,0.030134741082724934,0.8103834072085495,0.024771684049720098
GCN-NR-MTL,NR-AR,NR,0.37881793051950463,0.15564787686224102,0.7828822766442683,0.07228254631523114
GCN-NR-MTL,NR-AR-LBD,NR,0.31270592570202943,0.2419241117735164,0.7779535618806115,0.120956967112236
GCN-NR-MTL,NR-AhR,NR,0.45904407089545785,0.09967403765715079,0.8521338760784464,0.03241558427084649
GCN-NR-MTL,NR-Aromatase,NR,0.16439833692732833,0.015731799615896217,0.7786562420184037,0.03423786096133809
GCN-NR-MTL,NR-ER,NR,0.39302715896122503,0.08928502662724203,0.745130016640227,0.03836458779181947
GCN-NR-MTL,NR-ER-LBD,NR,0.281794067543099,0.1367295862569899,0.76818056451373,0.08445638554753433
GCN-NR-MTL,NR-PPAR-gamma,NR,0.08771418898244959,0.03659727605785941,0.728955903028664,0.05590189119913326
GCN-SR-MTL,SR-ARE,SR,0.3803415909190753,0.09721725491604388,0.7557802941806191,0.04625173747300126
GCN-SR-MTL,SR-ATAD5,SR,0.13212308890126753,0.04563454329800122,0.774651754272822,0.04923207189027766
GCN-SR-MTL,SR-HSE,SR,0.20502829769851408,0.07879019091623819,0.772526961440682,0.01769169443645176
GCN-SR-MTL,SR-MMP,SR,0.5183932608783125,0.07178651791404395,0.8469445997226878,0.0401891027633903
GCN-SR-MTL,SR-p53,SR,0.19903545278944149,0.024776143900927406,0.8140550622821778,0.016849740623384065
GCN-STL,NR-AR,NR,0.3498092684595413,0.19788333623707732,0.7671648528558284,0.07715166991310497
GCN-STL,NR-AR-LBD,NR,0.26569698362340516,0.23662192995766163,0.7457991788924073,0.12126486380233295
GCN-STL,NR-AhR,NR,0.4977001581056149,0.10344184306882924,0.8628108182326699,0.0313543710384223
GCN-STL,NR-Aromatase,NR,0.17272717455054754,0.022882115846833674,0.7806027322182935,0.026286694097035136
GCN-STL,NR-ER,NR,0.3562164452774272,0.1027297006540226,0.735500561124467,0.05002999883831346
GCN-STL,NR-ER-LBD,NR,0.2942354586484032,0.15086213142841423,0.746771161220949,0.09727048601480244
GCN-STL,NR-PPAR-gamma,NR,0.09306350772257413,0.041821467794010726,0.7005546026733966,0.058492025997974186
GCN-STL,SR-ARE,SR,0.3987492183945858,0.10091133347902623,0.762229896869751,0.05676587045605007
GCN-STL,SR-ATAD5,SR,0.12758170521461887,0.04896899439485449,0.755315317884776,0.03354220398323183
GCN-STL,SR-HSE,SR,0.19492608339240994,0.0852594255099719,0.7438570827458314,0.033886657189251664
GCN-STL,SR-MMP,SR,0.576390514171199,0.09619443815516462,0.8616623999016337,0.04727195476009107
GCN-STL,SR-p53,SR,0.18724610084879129,0.03072806211593209,0.7937660944452094,0.032327878511248215
